gen,model,alpha,beta,pWeight,dist1
1,m1,1.27923253475176,0.335208395458758,5e-04,0.200983136384206
1,m1,1.84773710841127,0.393491793027497,5e-04,0.0283156124227938
1,m1,1.40985820412496,0.296288328394992,5e-04,0.255792791528642
1,m1,2.46005295286234,0.661037914970424,5e-04,1.74180366438813
1,m1,2.45358837737376,0.420119527713628,5e-04,0.864448773152927
1,m1,1.89909862829093,0.374990639089257,5e-04,0.0936766192988394
1,m1,1.75308500131872,0.999184027921874,5e-04,1.76382667466702
1,m1,2.03665341366129,0.00900370770168956,5e-04,0.651979582762705
1,m1,2.06319575248938,0.746494226164999,5e-04,1.45052892707135
1,m1,2.00614583845809,0.0707401021750411,5e-04,0.505268413739728
1,m1,3.83632800346613,0.875545728182537,5e-04,14.3721956179704
1,m1,2.67908971277904,0.0048469225843437,5e-04,0.728171545754198
1,m1,3.44537493859278,0.521684491535532,5e-04,5.27399973773059
1,m1,2.6711324746469,0.63057951080054,5e-04,2.34880338628277
1,m1,1.34118410114665,0.455758622673457,5e-04,0.120464987969039
1,m1,2.60723627959052,0.740295967460028,5e-04,2.95042297808742
1,m1,3.69494667231198,0.327422809851472,5e-04,4.3900203308678
1,m1,0.886476410402916,0.14766272601753,5e-04,1.34435660895745
1,m1,0.733889476727229,0.756401859428384,5e-04,0.558282220392018
1,m1,0.0944061773698777,0.0736062541339779,5e-04,3.84969139763709
1,m1,3.74807802572288,0.137878032019944,5e-04,4.16815851820257
1,m1,3.57324861273309,0.774383665786358,5e-04,9.67006977241855
1,m1,2.43584715202497,0.389286797478562,5e-04,0.538093517125879
1,m1,2.25994286988862,0.218136285725283,5e-04,0.234881412000919
1,m1,0.105213399239816,0.677593098464771,5e-04,2.47049911583824
1,m1,3.24918958953908,0.35186982833303,5e-04,2.12834348313058
1,m1,1.5484613440372,0.222198763307068,5e-04,0.341966676061526
1,m1,3.78855867781257,0.865051308348309,5e-04,15.1405289059957
1,m1,1.3505960321133,0.303553557451232,5e-04,0.284367656961516
1,m1,0.122078441091347,0.429360488815582,5e-04,2.99152134425897
1,m1,0.304233565424103,0.776144349478651,5e-04,1.08020944319444
1,m1,0.264756546761375,0.29560140127351,5e-04,2.84999151834447
1,m1,0.796357763865963,0.951260525735212,5e-04,0.0536007979075887
1,m1,0.0673876808900386,0.884229518578039,5e-04,1.714037136017
1,m1,3.54883638924593,0.174226849792874,5e-04,3.17979083828595
1,m1,3.26310269270698,0.257441386953578,5e-04,2.35734970360499
1,m1,1.03284518341394,0.850406633917824,5e-04,0.0386678449603485
1,m1,0.499709601326846,0.176306147492724,5e-04,2.03769394421407
1,m1,2.00280145163555,0.612619268861949,5e-04,0.690390831680952
1,m1,1.18090310027963,0.524640690616448,5e-04,0.116411682625445
1,m1,1.62449074865505,0.893856976778596,5e-04,0.923872030874825
1,m1,3.56449149826448,0.902592377978493,5e-04,12.8543188193922
1,m1,2.51846888788929,0.522185979292379,5e-04,1.31637954764784
1,m1,1.14481604913343,0.480914374006796,5e-04,0.203431737756164
1,m1,2.47039997097617,0.98611937468301,5e-04,4.71236647144458
1,m1,0.275847932302393,0.731945701573044,5e-04,1.34965318466813
1,m1,0.928526334727649,0.572405198792694,5e-04,0.326215710441891
1,m1,0.434810046959668,0.706164208720904,5e-04,1.15849424178519
1,m1,1.89329183052713,0.955618480763515,5e-04,1.76082059043593
1,m1,1.24946063696267,0.893162401854526,5e-04,0.160448795033675
1,m1,1.65290906902356,0.692080060161767,5e-04,0.226792150167112
1,m1,3.0565564151993,0.128382068108651,5e-04,1.24401540082928
1,m1,2.04119978197152,0.735309264748474,5e-04,0.992373913702191
1,m1,3.14811934807943,0.382434420713224,5e-04,2.59779675292337
1,m1,1.56516708139842,0.644254703252809,5e-04,0.102772580807098
1,m1,3.84989200678328,0.177138000731589,5e-04,4.03309156698728
1,m1,2.59533042069571,0.924499925387674,5e-04,4.45627364289638
1,m1,3.07042622486688,0.105679076054599,5e-04,1.66157530805292
1,m1,1.9474208810688,0.965507827400696,5e-04,2.48537357726399
1,m1,1.84560889818519,0.278944967492833,5e-04,0.0361891750680715
1,m1,0.209340786977205,0.365219393269042,5e-04,2.82384842832388
1,m1,0.748882056177594,0.918711882270174,5e-04,0.0658125014275961
1,m1,0.547872944161762,0.745159669400542,5e-04,0.800460935927589
1,m1,0.723912826180924,0.160717829563655,5e-04,1.69745951624825
1,m1,0.588259089280386,0.680773127162945,5e-04,0.784654805067927
1,m1,0.63722984889755,0.709944878443843,5e-04,0.745417545486736
1,m1,3.8864805485229,0.451130575699033,5e-04,6.76215197559093
1,m1,2.1257543444992,0.145606096152216,5e-04,0.283634653432216
1,m1,2.57579571421118,0.0774202426981647,5e-04,0.536411218989673
1,m1,0.484246540620457,0.480459981731954,5e-04,1.43290311541887
1,m1,3.65235697945533,0.348502366041765,5e-04,3.78853792788213
1,m1,0.158616304236464,0.0792798014493892,5e-04,3.92825700090226
1,m1,1.05583473496232,0.383219207260525,5e-04,0.526738770126924
1,m1,3.81712037446769,0.190733951749979,5e-04,4.00578954516204
1,m1,1.11949069158174,0.35981098499184,5e-04,0.52982615303646
1,m1,0.0843347485563718,0.680359985140967,5e-04,1.98763321114989
1,m1,0.00600868526194245,0.167002872087993,5e-04,3.76534703950069
1,m1,3.22938457647478,0.414662047717255,5e-04,2.63952282245711
1,m1,3.96099879255705,0.43948439576372,5e-04,7.40557729164905
1,m1,1.22634133627918,0.0410590750856791,5e-04,1.2481032709955
1,m1,1.59844718847936,0.533133982592146,5e-04,0.0444769661685518
1,m1,0.337040544008836,0.216736275329604,5e-04,2.86371952490875
1,m1,3.11328410308994,0.402258715315023,5e-04,2.33574546036828
1,m1,3.87715377415623,0.366309658281272,5e-04,5.77987693675778
1,m1,0.991667078027502,0.148507554275333,5e-04,0.799010902861554
1,m1,2.91932184631377,0.207072068511043,5e-04,1.06909441358296
1,m1,1.20498724429961,0.535762508165091,5e-04,0.104318520735382
1,m1,2.43003736707009,0.445046070874669,5e-04,0.733669493993145
1,m1,1.17936784117948,0.539510192368645,5e-04,0.0710544861270181
1,m1,1.64748161263112,0.183682433610316,5e-04,0.39903434680536
1,m1,0.555048754027113,0.503686332862475,5e-04,0.868451391512012
1,m1,3.27604497624049,0.0177562746778131,5e-04,2.24565699740742
1,m1,2.20885539071681,0.498557584867347,5e-04,0.840367050030681
1,m1,1.92514185798354,0.66496034974663,5e-04,0.681161319655288
1,m1,2.70887173654558,0.616007610526169,5e-04,2.67612604999358
1,m1,3.0214936944549,0.237403023013263,5e-04,1.34690123557936
1,m1,0.802530362261459,0.141923881600029,5e-04,1.81560517866421
1,m1,0.909571735209785,0.891530770480749,5e-04,0.0194325979794253
1,m1,3.1790744414716,0.6109284968758,5e-04,3.96223952114115
1,m1,1.38848536957288,0.700615812806529,5e-04,0.0512414487181168
1,m1,1.08653794256551,0.504538291166071,5e-04,0.0640595285532489
1,m1,2.15993296955293,0.277650923543843,5e-04,0.139330183330308
1,m1,2.57162442133995,0.729115476313629,5e-04,2.69252578809212
1,m1,3.4867074672794,0.367813259569113,5e-04,3.97605038135246
1,m1,3.69810500728898,0.440698398313136,5e-04,5.96981330298267
1,m1,3.7152251618416,0.218648979562684,5e-04,3.39172317948528
1,m1,0.0688134407005273,0.490603788313456,5e-04,2.67769226820066
1,m1,1.47791906704707,0.748097205047612,5e-04,0.233108529234537
1,m1,1.28577041095868,0.352778729833779,5e-04,0.1866583951214
1,m1,2.10207038711663,0.708321237079333,5e-04,1.1776762441048
1,m1,2.59679441834893,0.234303640466649,5e-04,0.912672604849432
1,m1,1.55268917851103,0.96786808373651,5e-04,0.728021839362101
1,m1,0.0233165272837505,0.941480270579574,5e-04,1.35040210750079
1,m1,2.99467807669658,0.363813055597013,5e-04,2.10136294657235
1,m1,0.174675947709475,0.103069870235398,5e-04,3.37134144743424
1,m1,2.16492053141119,0.210524201864959,5e-04,0.230854779861117
1,m1,2.62632102124998,0.142897794842371,5e-04,0.7337346040286
1,m1,1.60376121992851,0.477044346686685,5e-04,0.017897872852542
1,m1,3.87996478804946,0.591965385672404,5e-04,9.33294724610181
1,m1,0.763304407716263,0.720890274157515,5e-04,0.25922030921458
1,m1,3.2853392915423,0.672625859987922,5e-04,6.79789381938317
1,m1,0.7815338032851,0.0696999670015648,5e-04,1.65291301331142
1,m1,0.917930264845956,0.0198344295938732,5e-04,1.65854148375555
1,m1,1.69504129408253,0.0252118072540034,5e-04,0.688075029923794
1,m1,1.53540295468271,0.651347993970267,5e-04,0.1883312844142
1,m1,2.39259942604555,0.836667864904506,5e-04,3.13757820639387
1,m1,0.915640973691829,0.0231497273140121,5e-04,1.38225172768601
1,m1,1.28102082541957,0.163492087797495,5e-04,0.510256424910404
1,m1,0.579457425188739,0.600023402818828,5e-04,0.964242047779201
1,m1,2.6550143070356,0.762784458390088,5e-04,3.52202939840194
1,m1,1.70943129956443,0.346410857300856,5e-04,0.0138462086863367
1,m1,0.673469613841269,0.780049535044352,5e-04,0.469613369297078
1,m1,2.84358018585434,0.518669441027218,5e-04,2.05765741599744
1,m1,0.735622292886022,0.66193770639482,5e-04,0.541994689588693
1,m1,0.982467505286448,0.138425500507466,5e-04,0.885852308415083
1,m1,1.19332526961388,0.279753112961655,5e-04,0.506050124864945
1,m1,2.05104912061058,0.531793642735225,5e-04,0.471152782777566
1,m1,0.69738359226333,0.849268641104107,5e-04,0.197744046033281
1,m1,1.06454526481871,0.275436507353326,5e-04,0.792805728623242
