alpha,beta,model
3.39154811026575,0.354167660311679,m1
2.48379528029868,0.3070542815394,m1
3.09557684640167,0.568706410660408,m1
0.0800833234172314,0.620787744742935,m1
0.295753496047109,0.247298252182314,m1
3.0112376298192,0.0391950544284191,m1
3.12704675758397,0.545954898082302,m1
0.252113162000664,0.323243176626042,m1
2.48873644322855,0.873180313635734,m1
1.48570300407661,0.485586014222703,m1
1.3416200016411,0.402749944881769,m1
2.62277484042803,0.703837135675247,m1
3.74734955506818,0.160312102091731,m1
3.12978768654028,0.784887106129783,m1
3.19415215188125,0.56342162910616,m1
0.217757535001729,0.478006981519284,m1
2.1111281200638,0.30368920523976,m1
2.49591400652006,0.815970341422712,m1
0.00178660248219967,0.223384421825875,m1
3.84278397548106,0.0219102454367094,m1
1.70062566134473,0.0901123951376649,m1
0.18720938665932,0.754339800535236,m1
1.63078600195609,0.0996590833439259,m1
1.13129976585787,0.779804536471143,m1
1.4521124326787,0.94753910982667,m1
3.67020359493606,0.108469911405817,m1
3.87380777081335,0.256966968060005,m1
0.356428950911853,0.331833091202541,m1
2.10209047133336,0.747001476825564,m1
1.21346083394857,0.606019122792408,m1
2.99908213821659,0.580870129954768,m1
0.330663538517896,0.0535624002270633,m1
2.16749113902776,0.0688718685822096,m1
2.78851546974853,0.143194905453362,m1
0.799776413559914,0.354763278960483,m1
2.75643468802562,0.456514957923093,m1
1.9260759726651,0.687913757467875,m1
0.260998998515774,0.209938640812878,m1
0.898644706257619,0.707925754257012,m1
0.887809651014861,0.0918582629304146,m1
2.00479116930347,0.123575813661679,m1
1.1025679882546,0.424842607957195,m1
1.2057372923228,0.0579079011187423,m1
2.59136568007525,0.118577879112796,m1
1.77921312333504,0.885604209865327,m1
0.786817435171455,0.658049653538153,m1
3.0963805946419,0.0664357663617702,m1
1.88569594295928,0.368782425920595,m1
1.76051827765536,0.170075839182013,m1
3.03556574425707,0.311125676090247,m1
2.64133168427926,0.630241395602468,m1
2.15135082902433,0.276269790531253,m1
0.66185483453935,0.637917051583878,m1
0.80700871783495,0.312848681750707,m1
0.257347350376192,0.89606044404034,m1
3.26045195448538,0.566870480422629,m1
0.376650936363731,0.75279320210265,m1
2.34933253155043,0.11907428986975,m1
