gen,dist1,acceptance_rate
2,3.93886544785766,0.807676929228309
3,2.11630115864823,0.735014619883041
4,1.27550421214342,0.68281036834925
5,0.795155056778437,0.618988902589396
6,0.543009303134643,0.556695314665927
7,0.370776764922677,0.510535668951511
8,0.250069807015094,0.468997668997669
9,0.175640137375691,0.403969526864475
10,0.125474099174445,0.370898980537535
11,0.0918548542769008,0.316640502354788
12,0.0694812067111727,0.272027027027027
13,0.0539356062167431,0.245725451880801
14,0.0420453301503105,0.204164965291956
15,0.0327647697112972,0.167582875229052
